district,state,elevation_m,slope_deg,rainfall_mm,soil_saturation_pct,historical_hazards_count,is_bypass,disruption_risk
SHILLONG,MEGHALAYA,1520,27,127.4,29.0,72,0,2
HAFLONG,ASSAM,260,11,148.4,42.2,17,1,0
MANGAN,SIKKIM,1217,50,355.2,90.8,118,0,2
NONGPOH,MEGHALAYA,283,6,100.6,21.4,11,1,0
SHILLONG,MEGHALAYA,1085,13,171.4,48.2,27,1,1
GANGTOK,SIKKIM,1680,42,290.3,86.4,125,0,2
IMPHAL,MANIPUR,751,24,342.8,100.0,39,0,2
NONEY,MANIPUR,648,34,296.1,80.1,84,0,2
DIMAPUR,NAGALAND,80,3,156.6,45.2,9,1,0
NONGPOH,MEGHALAYA,465,21,171.8,54.5,32,0,2
NONEY,MANIPUR,454,17,45.8,10.0,19,1,0
AIZAWL,MIZORAM,1119,43,187.0,54.4,104,0,2
GANGTOK,SIKKIM,883,15,137.0,42.0,40,1,0
MANGAN,SIKKIM,708,24,128.8,39.9,27,1,1
SHILLONG,MEGHALAYA,1565,26,311.4,88.0,90,0,2
GANGTOK,SIKKIM,1070,18,139.6,45.9,28,1,1
SHILLONG,MEGHALAYA,1055,11,68.5,11.1,19,1,0
AIZAWL,MIZORAM,1156,35,181.5,52.6,102,0,2
IMPHAL,MANIPUR,793,16,404.2,100.0,49,0,2
GUWAHATI,ASSAM,34,3,217.4,65.3,3,1,0
NONEY,MANIPUR,630,39,109.1,30.1,72,0,2
HAFLONG,ASSAM,488,36,401.9,100.0,77,0,2
TAWANG,ARUNACHAL PRADESH,1971,23,164.2,49.0,38,1,1
GANGTOK,SIKKIM,1005,19,80.4,19.7,25,1,0
NONEY,MANIPUR,600,31,294.6,77.5,92,0,2
SILCHAR,ASSAM,20,3,78.6,16.0,16,1,0
ITANAGAR,ARUNACHAL PRADESH,340,40,112.1,33.7,101,0,2
DIMAPUR,NAGALAND,87,4,157.6,46.1,5,1,0
SILCHAR,ASSAM,23,3,74.5,21.3,10,1,0
JOWAI,MEGHALAYA,753,15,53.6,19.8,32,1,0
SHILLONG,MEGHALAYA,1554,24,395.0,100.0,67,0,2
NONGPOH,MEGHALAYA,301,7,50.6,12.1,8,1,0
GANGTOK,SIKKIM,1207,21,165.4,49.6,29,1,1
ITANAGAR,ARUNACHAL PRADESH,304,38,409.4,100.0,101,0,2
SILCHAR,ASSAM,20,3,193.5,48.3,14,1,0
TAWANG,ARUNACHAL PRADESH,2643,41,103.1,34.4,119,0,2
GANGTOK,SIKKIM,1682,41,282.1,80.3,123,0,2
MANGAN,SIKKIM,880,17,83.0,21.4,41,1,0
LUNGLEI,MIZORAM,418,18,122.5,42.0,16,1,0
SHILLONG,MEGHALAYA,1553,27,170.2,54.2,81,0,2
HAFLONG,ASSAM,519,30,229.0,64.3,67,0,2
LUNGLEI,MIZORAM,752,36,115.2,38.1,89,0,2
AIZAWL,MIZORAM,1105,42,172.6,49.6,86,0,2
KOHIMA,NAGALAND,1437,38,165.4,52.5,87,0,2
SILCHAR,ASSAM,49,4,81.2,26.9,39,0,0
AIZAWL,MIZORAM,1148,42,225.4,54.8,104,0,2
HAFLONG,ASSAM,541,26,278.1,71.6,73,0,2
JOWAI,MEGHALAYA,1379,36,410.5,100.0,103,0,2
DIMAPUR,NAGALAND,136,14,200.3,56.6,18,0,1
MANGAN,SIKKIM,1190,43,355.7,100.0,135,0,2
GUWAHATI,ASSAM,57,7,307.8,89.3,27,0,2
NONEY,MANIPUR,345,16,47.0,12.6,22,1,0
IMPHAL,MANIPUR,461,9,80.1,24.8,15,1,0
GANGTOK,SIKKIM,939,15,103.2,28.8,40,1,0
KOHIMA,NAGALAND,1418,34,277.4,84.8,77,0,2
